fram.stock.id,tamm.worksheet.name,tamm.cell.row,tamm.cell.col,comment
139,"2",48,31,Queets Wild Unmarked
140,,,,Queets Wild Marked zeroed out
131,"2",48,26,Quillayute Wild Unmarked
132,,,,Quillayute Wild Marked zeroed out
135,"2",48,27,Hoh Wild Unmarked
136,,,,Hoh Wild Marked zeroed out
149,"2",48,37,Chehalis Wild Unmarked
150,,,,Chehalis Wild Marked zeroed out
153,,,,Humptulips Wild Unmarked zeroed out
154,,,,Humptulips Wild Marked zeroed out
157,,,,Grays Harbor Misc Wild Unmarked zeroed out
158,,,,Grays Harbor Misc Wild Marked zeroed out

