fram.stock.id,fram.fishery.id,tamm.worksheet.name,tamm.cell.row,tamm.cell.col,comment
139,68,2,38,31,Queets Wild Unmarked Wild in Treaty Net (CHECK FRAM FISHERY ID)
139,65,2,39,31,Queets Wild Unmarked Wild in Sport (CHECK FRAM FISHERY ID)
139,66,,,,Queets Wild Unmarked zeroed out
139,67,,,,Queets Wild Unmarked zeroed out
139,69,,,,Queets Wild Unmarked zeroed out
140,68,,,,Queets Wild Marked zeroed out
140,65,,,,Queets Wild Marked zeroed out
140,66,,,,Queets Wild Marked zeroed out
140,67,,,,Queets Wild Marked zeroed out
140,69,,,,Queets Wild Marked zeroed out
131,71,2,38,26,Quillayute Wild Unmarked in Treaty Net
131,70,2,39,26,Quillayute Wild Unmarked in Sport
131,72,,,,Quillayute Wild Unmarked C&S zeroed out
132,71,,,,Quillayute Wild Marked zeroed out
132,70,,,,Quillayute Wild Marked zeroed out
132,72,,,,Quillayute Wild Marked zeroed out
135,73,2,39,27,Hoh Wild Unmarked in Sport
135,74,2,38,27,Hoh Wild Unmarked in Treaty Net
135,75,,,,Hoh Wild Unmarked C&S zeroed out
136,73,,,,Hoh Wild Marked Sport zeroed out
136,74,,,,Hoh Wild Marked Treaty Net zeroed out
136,75,,,,Hoh Wild Marked C&S zeroed out
149,48,2,39,37,Chehalis Wild Unmarked in Sport
149,49,,,,Chehalis Wild Unmarked zeroed out
149,50,2,38,37,Chehalis Wild Unmarked in Treaty Net
149,51,,,,Chehalis Wild Unmarked
149,52,2,37,37,Chehalis Wild Unmarked in Non-treaty Net
149,53,,,,Chehalis Wild Unmarked
149,54,,,,Chehalis Wild Unmarked
149,55,,,,Chehalis Wild Unmarked
149,56,,,,Chehalis Wild Unmarked
149,57,,,,Chehalis Wild Unmarked
149,58,,,,Chehalis Wild Unmarked
149,59,,,,Chehalis Wild Unmarked
149,60,,,,Chehalis Wild Unmarked
149,61,,,,Chehalis Wild Unmarked
150,48,,,,Chehalis Wild Marked zeroed out
150,49,,,,Chehalis Wild Marked zeroed out
150,50,,,,Chehalis Wild Marked zeroed out
150,51,,,,Chehalis Wild Marked zeroed out
150,52,,,,Chehalis Wild Marked zeroed out
150,53,,,,Chehalis Wild Marked zeroed out
150,54,,,,Chehalis Wild Marked zeroed out
150,55,,,,Chehalis Wild Marked zeroed out
150,56,,,,Chehalis Wild Marked zeroed out
150,57,,,,Chehalis Wild Marked zeroed out
150,58,,,,Chehalis Wild Marked zeroed out
150,59,,,,Chehalis Wild Marked zeroed out
150,60,,,,Chehalis Wild Marked zeroed out
150,61,,,,Chehalis Wild Marked zeroed out
153,48,,,,Humptulips Wild Unmarked zeroed out
153,49,,,,Humptulips Wild Unmarked zeroed out
153,50,,,,Humptulips Wild Unmarked zeroed out
153,51,,,,Humptulips Wild Unmarked zeroed out
153,52,,,,Humptulips Wild Unmarked zeroed out
153,53,,,,Humptulips Wild Unmarked zeroed out
153,54,,,,Humptulips Wild Unmarked zeroed out
153,55,,,,Humptulips Wild Unmarked zeroed out
153,56,,,,Humptulips Wild Unmarked zeroed out
153,57,,,,Humptulips Wild Unmarked zeroed out
153,58,,,,Humptulips Wild Unmarked zeroed out
153,59,,,,Humptulips Wild Unmarked zeroed out
153,60,,,,Humptulips Wild Unmarked zeroed out
153,61,,,,Humptulips Wild Unmarked zeroed out
154,48,,,,Humptulips Wild Marked zeroed out
154,49,,,,Humptulips Wild Marked zeroed out
154,50,,,,Humptulips Wild Marked zeroed out
154,51,,,,Humptulips Wild Marked zeroed out
154,52,,,,Humptulips Wild Marked zeroed out
154,53,,,,Humptulips Wild Marked zeroed out
154,54,,,,Humptulips Wild Marked zeroed out
154,55,,,,Humptulips Wild Marked zeroed out
154,56,,,,Humptulips Wild Marked zeroed out
154,57,,,,Humptulips Wild Marked zeroed out
154,58,,,,Humptulips Wild Marked zeroed out
154,59,,,,Humptulips Wild Marked zeroed out
154,60,,,,Humptulips Wild Marked zeroed out
154,61,,,,Humptulips Wild Marked zeroed out
157,48,,,,Greys Harbor Wild Unmarked zeroed out
157,49,,,,Greys Harbor Wild Unmarked zeroed out
157,50,,,,Greys Harbor Wild Unmarked zeroed out
157,51,,,,Greys Harbor Wild Unmarked zeroed out
157,52,,,,Greys Harbor Wild Unmarked zeroed out
157,53,,,,Greys Harbor Wild Unmarked zeroed out
157,54,,,,Greys Harbor Wild Unmarked zeroed out
157,55,,,,Greys Harbor Wild Unmarked zeroed out
157,56,,,,Greys Harbor Wild Unmarked zeroed out
157,57,,,,Greys Harbor Wild Unmarked zeroed out
157,58,,,,Greys Harbor Wild Unmarked zeroed out
157,59,,,,Greys Harbor Wild Unmarked zeroed out
157,60,,,,Greys Harbor Wild Unmarked zeroed out
157,61,,,,Greys Harbor Wild Unmarked zeroed out
158,48,,,,Greys Harbor Wild Marked zeroed out
158,49,,,,Greys Harbor Wild Marked zeroed out
158,50,,,,Greys Harbor Wild Marked zeroed out
158,51,,,,Greys Harbor Wild Marked zeroed out
158,52,,,,Greys Harbor Wild Marked zeroed out
158,53,,,,Greys Harbor Wild Marked zeroed out
158,54,,,,Greys Harbor Wild Marked zeroed out
158,55,,,,Greys Harbor Wild Marked zeroed out
158,56,,,,Greys Harbor Wild Marked zeroed out
158,57,,,,Greys Harbor Wild Marked zeroed out
158,58,,,,Greys Harbor Wild Marked zeroed out
158,59,,,,Greys Harbor Wild Marked zeroed out
158,60,,,,Greys Harbor Wild Marked zeroed out
158,61,,,,Greys Harbor Wild Marked zeroed out
